note_id,project_id,y,tier,rk,block,annotators,title_how,body_truncated,skipped_questions,raw_md5
SPX_phase1_recvuS8Ulp9cSB,SPX_phase1,1,大爆,6,2,AB,bracket,0,,86a0b955d86006e79737f124ce62ff5e
SPX_phase1_recvtWVFOWlNeJ,SPX_phase1,1,大爆,10,2,AB,bracket,0,,29fb11a40b732ff0b53b6900fbe9f791
SPX_phase1_recvsxkitAgg8c,SPX_phase1,0,趴,4,2,AB,bracket,0,,eafaee4e53c03be52106b475df3af7b6
SPX_phase1_recvvh0Dj273Co,SPX_phase1,0,趴,8,2,AB,bracket,0,,679f6752e09a53a4110e126a0665ba84
NRT_phase2_recuYXUhTugh5H,NRT_phase2,1,爆,3,3,B,colon,0,,6e74bbce330e1f5559a28a0e94ebf1aa
NRT_phase2_recuYyYJm2Jd3g,NRT_phase2,1,爆,7,3,B,colon,0,,e286df89961a98a2f4b5b36861c48dce
NRT_phase2_recuYWaet0zIA6,NRT_phase2,0,趴,1,3,B,colon,0,,616c39fc5143080d1a8264b0de0f0353
NRT_phase2_recuYWaet0qKaV,NRT_phase2,0,趴,5,3,B,colon,0,,75f22062c25bd15f5cae986cce691e2d
NRT_phase2_recuYVPNNnuLme,NRT_phase2,0,趴,9,3,B,colon,0,,8d0ddf6c4deae41e965b6a5fb3b1e496
NRT_phase3_recv0whF4cHJ83,NRT_phase3,1,爆,3,3,B,colon,0,,970a8dcd483258a2b7066e2438b300cb
NRT_phase3_recv4TzNlQGGW7,NRT_phase3,1,爆,7,3,B,colon,0,,e7696afe2247c6d8dd018fe2af5b4199
NRT_phase3_recv11CZ81Ug4n,NRT_phase3,0,趴,1,3,B,colon,0,,0b6ec9c4e1ed4710a806b96a4206d0de
NRT_phase3_recv1txw8AWXjU,NRT_phase3,0,趴,5,3,B,colon,0,,91e75cf4c2d34faf12c1fddd9c416193
NRT_phase3_recv2fQd7sBO68,NRT_phase3,0,趴,9,3,B,colon,0,,19cbbb9624a0a46beb9877c46d6f4c69
NUC_phase1_recv4XiV4BvTHi,NUC_phase1,1,爆,3,3,B,colon,0,,a1f5e5b0420ba457e2809b70392e4223
NUC_phase1_recv3IMX1ogAS6,NUC_phase1,1,爆,7,3,B,colon,0,,e79f586c66fbbf49769b846246088cd6
NUC_phase1_recv3IP6jatSmv,NUC_phase1,0,趴,1,3,B,colon,0,,e843e227b8f319bf9b001e0428986efe
NUC_phase1_recv47G0uF5p7G,NUC_phase1,0,趴,5,3,B,colon,0,,d26b974985e2f82e1ad146b75003ed25
NUC_phase1_recv1HmOGdnJB5,NUC_phase1,0,趴,9,3,B,colon,0,,fc96d92e56220b0316787f0e92d6bb8e
OKMAN_phase1_recvrd83rmHpLo,OKMAN_phase1,1,爆,3,3,B,bracket,0,,4e303d72c1bf7c718e0bed0e9aec3f08
OKMAN_phase1_recvnUQdR55UEp,OKMAN_phase1,1,爆,7,3,B,bracket,0,,5c37ca7491be6ccd8386eccca650e944
OKMAN_phase1_recvqtis0iN3Az,OKMAN_phase1,0,趴,1,3,B,bracket,0,,23de7bcf6b92dc3fb443ed7e9bfb3902
OKMAN_phase1_recvmpA0N0WhXd,OKMAN_phase1,0,趴,5,3,B,bracket,0,,b9f2586127ca09be3566b05e96b00829
OKMAN_phase1_recvmpA0N0x5gu,OKMAN_phase1,0,趴,9,3,B,bracket,0,,b416a5251e9d478a1bb5d6130acb15ba
SPX_phase1_recvrojVKWZVmO,SPX_phase1,1,大爆,3,3,B,bracket,0,,193b09af71328a193afd753a4d961c3f
SPX_phase1_recvuwbllHtMDR,SPX_phase1,1,爆,7,3,B,bracket,0,,c67625b6bc262891ba51fe5ce2358bd4
SPX_phase1_recvsxkitA9ZMU,SPX_phase1,0,趴,1,3,B,bracket,0,,7b401ec8bdf4159bf52c9a90453f9714
SPX_phase1_recvtWVFOWmGWS,SPX_phase1,0,趴,5,3,B,bracket,0,,d7878cc1b2c2f10c3344e14422c139a7
SPX_phase1_recvsxkitAg9zE,SPX_phase1,0,趴,9,3,B,bracket,0,,aa10e31729cff09254cda93cc2db2b90
NRT_phase2_recuYXUhTuU8Fv,NRT_phase2,1,爆,4,4,C,colon,0,,f7d0cceb74c3efddb0f000a34ca07af7
NRT_phase2_recuYWgEJzmNzg,NRT_phase2,1,爆,8,4,C,colon,0,,6825257a5d606d4abb50a1ddad7861f3
NRT_phase2_recuYWaet0pGni,NRT_phase2,0,趴,2,4,C,colon,0,,994185f8e08bbb5d1cbb0656d4064e77
NRT_phase2_recuZkIQtVBfYP,NRT_phase2,0,趴,6,4,C,colon,0,,aa4339e604acea7836a477851c425850
NRT_phase2_recuZ8Lij77yVC,NRT_phase2,0,趴,10,4,C,colon,0,,c8187078525236211b26ad9bad0b4f49
NRT_phase3_recv1zn0ukv6VR,NRT_phase3,1,大爆,4,4,C,colon,0,,1b03d97529e9210ec94328b983306728
NRT_phase3_recv12EsNIAVCz,NRT_phase3,1,大爆,8,4,C,colon,0,,06e07bb1ee1ecc5810a3019e9603e9a4
NRT_phase3_recv1A3EXVlWBf,NRT_phase3,0,趴,2,4,C,colon,0,,88450551452531cd4733721a5a105a74
NRT_phase3_recv1A3EXVbZxw,NRT_phase3,0,趴,6,4,C,colon,0,,dcbfd209ebf099b037077f3056e5e5e3
NRT_phase3_recv4XC68478rK,NRT_phase3,0,趴,10,4,C,colon,0,,ddca978366aa845acb4d899eb71656e1
NUC_phase1_recv4KMBEB2Ocu,NUC_phase1,1,爆,4,4,C,colon,0,,d5943167be49ad7bd29f771d12a579e2
NUC_phase1_recv4XiV4BYfPW,NUC_phase1,1,爆,8,4,C,colon,0,,29626e87f544ce8a085982fd291b9e58
NUC_phase1_recv1nDNccqHTl,NUC_phase1,0,趴,2,4,C,colon,0,,0b5298b1cc54debbad5893b30169e73d
NUC_phase1_recv46LaDAdFFc,NUC_phase1,0,趴,6,4,C,colon,0,opening_type|has_specific_time|has_specific_place|has_direct_quote|has_body_sensation|ending_asks_reader|withholds_product_name|own_experience|turning_point|judged_by_others|negative_outcome_happened,bfa353d8833eb40f2e360850c82a318e
NUC_phase1_recv59erAa3i0b,NUC_phase1,0,趴,10,4,C,colon,0,,14ecb641d3ebb50aa0250e5d2d209399
OKMAN_phase1_recvnUQdR5PC0Q,OKMAN_phase1,1,爆,4,4,C,bracket,0,,17fd677954a54d589c9bd8eb8696eda9
OKMAN_phase1_recvsE8E0MA3oc,OKMAN_phase1,1,爆,8,4,C,bracket,0,,f12618dc72a847b530aae0517e182082
OKMAN_phase1_recvnUQdR5wLCg,OKMAN_phase1,0,趴,2,4,C,bracket,0,,a6ffb28916c63cf4836ec53ba63973b1
OKMAN_phase1_recvnUQdR5htzP,OKMAN_phase1,0,趴,6,4,C,bracket,0,,73a27cad6217982e777cba79a54f8400
OKMAN_phase1_recvoyQzJgjFlt,OKMAN_phase1,0,趴,10,4,C,bracket,0,,5ce215e91c9824456bcd8fe36d3ccff9
SPX_phase1_recvtWVFOWYjUk,SPX_phase1,1,爆,4,4,C,bracket,0,,660ab0f332ab44032751e0e8637f4961
SPX_phase1_recvuwbllH0Bvy,SPX_phase1,1,大爆,8,4,C,bracket,0,,cee8feee8bab2a32c49715d5b2f21101
SPX_phase1_recvqYjVCvnFU6,SPX_phase1,0,趴,2,4,C,bracket,0,,17e8fc0e1c89be3a01019f7efd249984
SPX_phase1_recvsxkitAXte2,SPX_phase1,0,趴,6,4,C,bracket,0,,8b0b44132ca7f8c9f4ad0e056b3313b5
SPX_phase1_recvrQTXmy1tP7,SPX_phase1,0,趴,10,4,C,bracket,0,,0d29843c497a7ea20dea2f2ccc2fa4da
